Gh'éra öna ölta	C'era una volta
öna tuśa	una ragazza
öna laźźaruna, öna laźźaruna!	tanto lazzarona
ma l'èra bèla bèla bèla	ma era molto bella
la hà-a mài negót	non faceva mai niente
la stà-a töt ol dé al balcù a ardà śgió chi che pasà-a	stava tutto il giorno al balcone a guardare chi passava
e pò di ölte la ga hà-a a' di schèrs	e a volte faceva dei dispetti
menemà	
ö dé 'l pasa öna ègia ègia ègia töta gòba	un giorno passa una vecchia tutta gobba
e la ga arda gió	l'ha guardata
e pò la gh'à spödàt gió söl có	e poi le ha sputato sulla testa
e gliùra la s'è ultada 'ndré, la gh'à dìc:	quella si è voltata e le ha detto:
— to n'avré mài piö bé	— non avrai più bene
fin ca to avré spuśàt	finché avrai sposato
ol Prìncipe-d'amùr!	il Principe-d'amore!
« ma santo célo! »	« santo cielo!
lé l'è gliò:	
« pòta cósa fói? cósa fói? »	cosa faccio? »
'l gh'è 'gnìt adòs vergót perchè la l'ìa streàda:	le è venuto addosso qualcosa perché l'aveva stregata
— mama mè ché a cà ga stó piö	 — mamma, io non resto più
mè che a cà...	in questa casa...
'ndó, 'ndó! — 'ndo ét?	vado! — dove vai?
— a 'ndó	— vado
a scircà	in cerca
ol Prìncipe-d'amùr	del Principe-d'amore
— 'à là bamba!	— ma va sciocca!
— sé sé, 'ndó a scircàl, a 'ndó a scircàl	— sì, vado a cercarlo
mè adès ga stó piö e 'ndó —	io non resto più, vado —
potà la s'è cambiàda, pò l'è 'ndacia	si è cambiata ed è andata
la 'à, la 'à, la rìa 'n cità, la domanda	va e va, arriva in città, chiede
— macchè s'à mài sentìt a parlà chi ca l'è —	— non si è mai sentito parlare di lui —
la scirca da ché, la scirca da lé	cerca di qua, cerca di là
potà
l'à mài sentìt a parlà	nessuno ne parla
« và bé	« va bene
'ndaró sö 'n de 'sta montagnina, starò sögliò 'm pó	salirò su questa montagna, starò lassù per un po'
potà e 'ndo 'ndói a dürmì staséra?	ma dove andrò a dormire stasera?
cósa fói? »	cosa farò? »
e la 'à sö 'n de 'sta montagnina	sale sulla montagna
e la èch ö ciàr egliò	e vede un lumicino
la 'à fò, l'è öna cà	va là, è una casa
la arda	guarda
al gh'éra hò töt en deśùrden en de 'sta cà	c'era tutto in disordine
e lé l'à dìc:	si è detta:
« ah bé, ergü i 'gnirà ala dé »	« beh, qualcuno verrà »
