Gh'éra öna ölta C'era una volta
öna tuśa    una ragazza
öna laźźaruna, öna laźźaruna!	tanto lazzarona
ma l'èra bèla bèla bèla	ma era molto bella
la hà-a mài negót	non faceva mai niente
la stà-a töt ol dé al balcù a ardà śgió chi che pasà-a	stava tutto il giorno al balcone a guardare chi passava
e pò di ölte la ga hà-a a' di schèrs	e a volte faceva dei dispetti
ö dé 'l pasa öna ègia ègia ègia töta gòba	un giorno passa una vecchia tutta gobba
e la ga arda gió	l'ha guardata
e pò la gh'à spödàt gió söl có	e poi le ha sputato sulla testa
e gliùra la s'è ultada 'ndré, la gh'à dìc:	quella si è voltata e le ha detto:
— to n'avré mài piö bé	— non avrai più bene
fin ca to avré spuśàt	finché avrai sposato
ol Prìncipe-d'amùr!	il Principe-d'amore!
« ma santo célo! »	« santo cielo!	
« pòta cósa fói? cósa fói? »	cosa faccio? »
'l gh'è 'gnìt adòs vergót perchè la l'ìa streàda:	le è venuto addosso qualcosa perché l'aveva stregata
— mama mè ché a cà ga stó piö	 — mamma, io non resto più
mè che a cà...	in questa casa...
'ndó, 'ndó! — 'ndo ét?	vado! — dove vai?
— a 'ndó	— vado
a scircà	in cerca
ol Prìncipe-d'amùr	del Principe-d'amore
— 'à là bamba!	— ma va sciocca!
— sé sé, 'ndó a scircàl, a 'ndó a scircàl	— sì, vado a cercarlo
mè adès ga stó piö e 'ndó —	io non resto più, vado —
potà la s'è cambiàda, pò l'è 'ndacia	si è cambiata ed è andata
la 'à, la 'à, la rìa 'n cità, la domanda	va e va, arriva in città, chiede
— macchè s'à mài sentìt a parlà chi ca l'è —	— non si è mai sentito parlare di lui —
la scirca da ché, la scirca da lé	cerca di qua, cerca di là
l'à mài sentìt a parlà	nessuno ne parla
« và bé	« va bene
'ndaró sö 'n de 'sta montagnina, starò sögliò 'm pó	salirò su questa montagna, starò lassù per un po'
potà e 'ndo 'ndói a dürmì staséra?	ma dove andrò a dormire stasera?
cósa fói? »	cosa farò? »
e la 'à sö 'n de 'sta montagnina	sale sulla montagna
e la èch ö ciàr egliò	e vede un lumicino
la 'à fò, l'è öna cà	va là, è una casa
la arda guarda
al gh'éra hò töt en deśùrden en de 'sta cà	c'era tutto in disordine
e lé l'à dìc:	si è detta:
« ah bé, ergü i 'gnirà ala dé »	« beh, qualcuno verrà »
e pò l'è 'gnida d'fò perchè 'l gh'è 'gnìt adòs pura	poi è uscita perché le è venuta paura
e l'è 'ndacia gliò 'n d'ö boscàl e l'è stacia gliò	ed è andata in un cespuglio, è rimasta là
« sto ché töta nòc	« starò tutta notte
en de 'sto boscàl »	in questo cespuglio »	
l'è ö momént ca l'è lé	dopo un po'
la èch ca 'l vé di èśge	vede arrivare delle vecchie
öna fila!	una fila!
lé la sa mèt dré a cüntài:	si mette a contarle:
« öna	« una
dù	due
trì	tre
quater	quattro
zìch... »	cinque... »
pòta è intequàter	sono ventiquattro
tüc en fila	tutte in fila
pò i và d'dét tüc en de 'sta cà	entrano in questa casa
« madóra mé	« madonna mia
còsa sarài?	chi saranno?
còsa farài? »	cosa faranno? »
e pò lé l'è stacia gliò töta nòc en de 'sto boscàl	è rimasta tutta notte in quel cespuglio
la matina	al mattino
la èch ca i vé d'fò	le vede uscire
la gi cünta, è amó intequàter	le conta, sono ancora ventiquattro
po' i pasa gió	e vanno
e lé gliùra l'è 'ndacia hò, l'ìa famada	allora lei è entrata in casa, era affamata
e stöfa	e stanca
e sónch	aveva sonno
l'è 'ndacia hò  è andata
gh'éra hò ö gràn' tàol	c'era un gran tavolo
gh'éra sö c'era
intequàter tónc	con ventiquattro piatti
intequàter fundine	ventiquattro piatti fondi
intequàter scodèle	ventiquattro scodelle
intequàter cüsgià	ventiquattro cucchiai
intequàter pirù	ventiquattro forchette
gh'éra intequàter escagne	ventiquattro sedie
tot en deśùrden	tutto in disordine
e lé la s'è metida, la töt gió töt	lei si è messa a sparecchiare
l'à la-àt gió	ha lavato
l'à fregàt gìó bé	ha fregato per bene
l' gh'è 'gnìt òia d'laurà	le è venuta voglia di lavorare
l'à metìt apòst a' tüc i scagne	ha messo a posto tutte le sedie
e pò dopo l'éra hamada	era affamata
l'à maiàt ergót	ha mangiato qualcosa
pò la 'à d'zura	poi è andata di sopra
l' gh'è so intequàter lèc, tüc desfàc gió	c'erano ventiquattro letti disfatti	
le la gi à fàc sö tüc bé	li ha riassettati per bene
pò l'à scu-àt fò	ha scopato
l'à fàc gió i pólvér	e ha fatto le polveri
e pò l'à dìc:	poi s'è detta:
« adès l'è quaśe séra »	« adesso è quasi sera »
tacàt sö öna 'mpignèta de minestra	ha messo sul fuoco una pignatta di minestra
pò la l'à bacia	l'ha preparata
pò la n'à maiàt a' lé	ne ha mangiato anche lei
pò l'è 'gnida d'fò, l'è 'ndacia fò amó 'n dol sò boschi	poi è uscita, è andata ancora nel suo cespuglio
e la gh'à lasàt lüs	e ha lasciato acceso
la lücèrna	la lucerna
là i ria sö: — cóme mài	loro arrivano: — come mai
al lüs ol ciàr? —	è accesa la lucerna?
i và d'dét:	entrano
— ma cóme mài	— come mai
'zzé pulìt?	cosi pulito?
cóme mài?   come mai?
ché l' gh'è stàc vergü —	c'è stato qualcuno! —
i fà pasà 'm per töt	cercano dappertutto
pòta i à ést negü	non hanno visto nessuno
lù i à scenàt bén pulito	hanno cenato
pò i à hàc ol consiglio	poi hanno fatto consiglio
e i a dìc:	han detto:
— té ca to sé la piö èśgia	— tu che sei la più vecchia
endomà d'matina to sté che scundida	domani mattina starai qui nascosta
e to 'ddiré chi ca l' vé	e vedrai chi viene
— sé sé, 'm fà 'zzè	— sì, facciamo così
chèl'óltra l'è hò 'n dol boscàl	quell'altra nel cespuglio
la èt ca l' và d'fò la gét	vede uscire le streghe
la śgi cünta	le conta
è intetrì	sono ventitré
la turna a cüntài, è intetrì:	le riconta, sono ventitré
« madóna öna l'è restada hò lé!	« madonna una è rimasta là!
o hòrse avrò śbagliàt àch a cüntài »	o forse avrò sbagliato a contarle »
gliùra	allora
la 'à fò	va là
pò la 'à d'dét	entra
al gh'è d'dét negü	non c'è nessuno
la arda	guarda
la hà pasà, l' gh'éra negü	cerca non c'è nessuno
la sa mèt dré, l'à hàc amó tüc i sò mestér	si mette ancora a fare tutti i mestieri
pò l'à tacàt sö amó la so minestra, la l'à hacia	poi ha messo ancora sul fuoco la minestra, l'ha preparata
pò la n'à	ne ha
töt fò öna bela hundina, l'à mangiat a' lé	preso un bel piatto, ha mangiato anche lei
pò la 'à d'fò	ed è uscita
'ndo ca la rìa gliò ala porta	quando arriva alla porta
chèl'ótra l'éra hò sóta la scala	sotto la scala
chela èśgia, scundida	la vecchia nascosta
per eddì chi ca ìa	per scoprire chi fosse
la l'à ciapada	l'ha presa
e lé la gh'à dìc: — madóra ardé, mè ó hàc negót de màl!	e la ragazza ha detto: — madonna, io non ho fatto niente di male!
— nò nò, l' só che to é hàc negót de màl	— lo so che non hai fatto niente di male
stà ché ca 'm ta tìgn che nóter	stai qui che noi ti teniamo
cósa fét en giro?	cosa fai in giro?
— 'ndó 'n scircà de laurà —	— vado in cerca di lavoro —
lé la gh' l'à mìa dìc ol perché	non le ha detto il perché
— beh
to é a scircà da laurà	— se vai in cerca di lavoro
che to ghe l'é perché	qui lo trovi perché
am ta tignerà bé, to 'dderé —	ti terremo bene, vedrai —
pò l' rìa chi óter	poi arrivano le altre
madóna tüc contèc!	madonna sono tutte contente!
— arda	— guarda
tüc i dé 'm ta pòrta ö regài	tutti i giorni ti portiamo un regalo —
tüc i dé —
intequàter regài al dé èra tance	ventiquattro regali al giorno erano tanti
pòta lé la gh'à dìc de sé	ha detto di sì
la sta gliò	è rimasta là
menemà	ma
apéne finìt da scéna i sa mèt dré:	appena finito di cenare, cominciano:
— mè ó streàt la tal...	— io ho stregato la tale...
